日期,推广计划名称,宝贝名称,宝贝类型,商品id,搜索类型,流量来源,展现量,点击量,花费(分),点击率,平均点击花费(分),千次展现花费(分),点击转化率,直接成交金额(分),直接成交笔数,间接成交金额(分),间接成交笔数,总成交金额(分),总成交笔数,宝贝收藏数,店铺收藏数,总收藏数,投入产出比,直接购物车数,间接购物车数,总购物车数
2019-04-30,玛咖【长尾】11-青黛,买2送1姿美堂玛卡片进口黑玛咖精片正品成人口服非男性保健品用品,宝贝推广,523920366379,搜索,计算机站内,285,0,0,0.00,,0.00,,,,,,,,,,,,,,
2019-04-30,玛咖【长尾】11-青黛,买2送1姿美堂玛卡片进口黑玛咖精片正品成人口服非男性保健品用品,宝贝推广,523920366379,搜索,移动站内,18216,487,110025,2.67,225.92,6040.02,2.67,118330,13,0,0,118330,13,5,0,5,1.08,26,2,28
2019-04-30,玛咖【长尾】04-青黛,买2送1姿美堂玛卡片进口黑玛咖精片正品成人口服非男性保健品用品,宝贝推广,523920366379,搜索,计算机站内,260,0,0,0.00,,0.00,,,,,,,,,,,,,,
2019-04-30,玛咖【长尾】04-青黛,买2送1姿美堂玛卡片进口黑玛咖精片正品成人口服非男性保健品用品,宝贝推广,523920366379,搜索,移动站内,8824,289,63300,3.28,219.03,7173.62,2.42,69900,7,0,0,69900,7,6,0,6,1.10,8,0,8
2019-04-30,玛咖【长尾】10-青黛,买2送1姿美堂玛卡片进口黑玛咖精片正品成人口服非男性保健品用品,宝贝推广,523920366379,搜索,计算机站内,23,0,0,0.00,,0.00,,,,,,,,,,,,,,
2019-04-30,玛咖【长尾】10-青黛,买2送1姿美堂玛卡片进口黑玛咖精片正品成人口服非男性保健品用品,宝贝推广,523920366379,搜索,移动站内,1470,96,26883,6.53,280.03,18287.76,6.25,48930,6,0,0,48930,6,2,0,2,1.82,3,0,3
2019-04-30,玛咖【长尾】07-青黛,买2送1姿美堂玛卡片进口黑玛咖精片正品成人口服非男性保健品用品,宝贝推广,523920366379,搜索,计算机站内,5,0,0,0.00,,0.00,,,,,,,,,,,,,,
2019-04-30,玛咖【长尾】07-青黛,买2送1姿美堂玛卡片进口黑玛咖精片正品成人口服非男性保健品用品,宝贝推广,523920366379,搜索,移动站内,2302,155,37200,6.73,240.00,16159.86,2.58,47396,4,0,0,47396,4,1,1,2,1.27,8,1,9
2019-04-30,玛咖【长尾】03-青黛,买2送1姿美堂玛卡片进口黑玛咖精片正品成人口服非男性保健品用品,宝贝推广,523920366379,搜索,计算机站内,9,0,0,0.00,,0.00,,,,,,,,,,,,,,
2019-04-30,玛咖【长尾】03-青黛,买2送1姿美堂玛卡片进口黑玛咖精片正品成人口服非男性保健品用品,宝贝推广,523920366379,搜索,移动站内,1307,91,23200,6.96,254.95,17750.57,5.49,48430,5,0,0,48430,5,6,0,6,2.09,4,0,4
2019-04-30,玛咖【长尾】01-青黛,买2送1姿美堂玛卡片进口黑玛咖精片正品成人口服非男性保健品用品,宝贝推广,523920366379,搜索,计算机站内,48,0,0,0.00,,0.00,,,,,,,,,,,,,,
2019-04-30,玛咖【长尾】01-青黛,买2送1姿美堂玛卡片进口黑玛咖精片正品成人口服非男性保健品用品,宝贝推广,523920366379,搜索,移动站内,2894,158,38454,5.46,243.38,13287.49,5.06,61376,8,0,0,61376,8,5,1,6,1.60,11,0,11
